NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Brasiléia;1200104;ESC SAO FRANCISCO I;12023477;3;2;1.0;BR 317 KM 84 RAMAL;;1.0;0.0;0.0;0.0;13.0
2019;Brasiléia;1200104;ESC JULIETA KAIRALA ESTEVES;12025470;3;2;1.0;BR 317 KM 59;;1.0;0.0;0.0;0.0;31.0
2019;Brasiléia;1200104;ESC HUMAITA;12025534;3;2;1.0;BR 317 KM 84;;0.0;0.0;0.0;1.0;8.0
2019;Brasiléia;1200104;ESC ANTONIO CARNEIRO DA SILVA;12026930;3;2;1.0;BR 317 KM 04 MAIS RAMAL;;1.0;0.0;0.0;0.0;24.0
2019;Brasiléia;1200104;ESC VALERIA BISPO SABALA;12026948;2;2;0.0;BR 317 ESTRADA DO PACIFICO;ZONA RURAL;1.0;0.0;0.0;0.0;801.0
2019;Brasiléia;1200104;ESC NOSSA SENHORA APARECIDA II;12026956;3;2;1.0;BR 317 KM 84 RAMAL;;0.0;0.0;0.0;1.0;9.0
2019;Brasiléia;1200104;CRECHE MUNICIPAL ROMA EMILSE SILVA;12028320;3;1;0.0;RUA PEDRO ALEXANDRINO NETO;PREDIO;1.0;0.0;0.0;0.0;160.0
2019;Brasiléia;1200104;ESC AIRTON SENA;12028339;3;2;1.0;BR 317 KM 59 MAIS RAMAL;;0.0;0.0;0.0;1.0;7.0
2019;Brasiléia;1200104;ESC CONCI ALVES DE MELO;12028347;3;2;1.0;BR 317 KM 26;VALERIA BISPO SABALA;1.0;0.0;0.0;0.0;224.0
2019;Brasiléia;1200104;ESC VITORIA;12029300;3;2;1.0;BR 317 KM 59 MAIS 55 DE RAMAL;;0.0;0.0;0.0;1.0;8.0
2019;Brasiléia;1200104;ESC GETULIO VARGAS;12029890;3;2;1.0;BR 317 KM 84 RAMAL;;0.0;0.0;0.0;1.0;12.0
