Ano;Região;UF;Municipio;CNPJ EEX;Código Escola;Escola;Localização;CNPJ UEX;Razão Social;DDD Telefone;Telefone;Email;Rede de Atendimento;Mandato Dirigente;Data Fim do Mandato;Data Atualização;Hora Atualização
2019;NORTE;AC;Brasiléia;'04508933000145;12016390;ESC FULGENCIO DE PAIVA;Rural;'12196854000174;CONSELHO ESCOLAR CONSORCIO GESILDA DE FREITAS PAIXAO;68.0;35464643.0;;PARTICULAR;À VENCER;26/05/2029;23/07/2019;11:07:34
2019;NORTE;AC;Brasiléia;'04508933000145;12016420;ESC GESILDA DE FREITAS PAIXAO;Rural;'12196854000174;CONSELHO ESCOLAR CONSORCIO GESILDA DE FREITAS PAIXAO;68.0;35464643.0;;PARTICULAR;À VENCER;26/05/2029;23/07/2019;11:07:34
2019;NORTE;AC;Brasiléia;'04508933000145;12029890;ESC GETULIO VARGAS;Rural;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;68.0;35464643.0;;PARTICULAR;À VENCER;07/05/2029;16/07/2019;11:07:11
2019;NORTE;AC;Brasiléia;'04508933000145;12025534;ESC HUMAITA;Rural;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;68.0;35464643.0;;PARTICULAR;À VENCER;07/05/2029;16/07/2019;11:07:11
2019;NORTE;AC;Brasiléia;'04508933000145;12019615;ESC INFANTIL MENINO JESUS;Urbana;'04368380000172;CONSELHO DA EMEI MENINO JESUS;68.0;92076763.0;;PARTICULAR;À VENCER;03/03/2026;27/08/2019;01:08:00
2019;NORTE;AC;Brasiléia;'04508933000145;12017000;ESC INFANTIL OS PASTORINHOS;Urbana;'02986577000140;CONSELHO ESCOLAR OS PASTORINHOS;68.0;92471913.0;;PARTICULAR;À VENCER;12/03/2028;27/08/2019;10:08:10
2019;NORTE;AC;Brasiléia;'04508933000145;12017035;ESC INFANTIL VITORIA SALVATIERRA CESAR;Urbana;'02986640000148;PRE-ESCOLAR, VITORIA SALVATIERRA CESAR;68.0;99652709.0;;PARTICULAR;À VENCER;21/10/2025;12/08/2019;04:08:59
2019;NORTE;AC;Brasiléia;'04508933000145;12016535;ESC JOSE RUY DA SILVEIRA LINO;Urbana;'00766996000140;CONSELHO ESCOLAR MUNICIPAL JOSE RUY DA SILVEIRA LINO;68.0;35463552.0;;PARTICULAR;À VENCER;03/04/2027;01/08/2019;05:08:57
2019;NORTE;AC;Brasiléia;'04508933000145;12029319;ESC JUELITA MEIRELES;Rural;'06256815000112;CONSELHO DAS ESCOLAS DE ZONA RURAL;68.0;35464643.0;;PARTICULAR;À VENCER;08/05/2029;09/08/2019;12:08:35
2019;NORTE;AC;Brasiléia;'04508933000145;12025470;ESC JULIETA KAIRALA ESTEVES;Rural;'12196854000174;CONSELHO ESCOLAR CONSORCIO GESILDA DE FREITAS PAIXAO;68.0;35464643.0;;PARTICULAR;À VENCER;26/05/2029;23/07/2019;11:07:34
