NU_ANO_CENSO;SG_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;CO_ESCOLA_SEDE_VINCULADA;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE
2021;AC;Bujari;1200138;ESC MAMEDIA MACIEL;12009474;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC MANOEL CEZARIO DE FARIAS;12009482;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC MAPINGUARI;12009490;2;2;0;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Bujari;1200138;ESC OSVALDO VALE DA SILVA;12009512;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC PEDRO ALVARO;12009547;2;2;0;0;0;0;0;0;1;0;1;0;0;0
2021;AC;Bujari;1200138;ESC PEDRO GOMES DE LIMA;12009555;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC CRECHE DONA BELA;12009563;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC SANTA LUZIA;12009598;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC MARIA DO CARMO RAMOS;12009679;2;2;0;0;0;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC NOSSA SENHORA DA ESPERANCA;12009687;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC SANTA MARIA III;12009695;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC NOSSA SENHORA APARECIDA;12019127;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC NOVA VIDA;12020680;2;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Bujari;1200138;ESC BANDEIRANTES;12020699;2;2;0;0;0;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC ESC PARAISO DA CRIANCA;12022284;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC SANTA CECILIA;12022292;3;2;0;0;1;0;0;1;0;0;0;0;0;1
2021;AC;Bujari;1200138;ESC SAO PEDRO;12022306;3;2;0;0;1;0;0;1;0;0;0;0;0;1
2021;AC;Bujari;1200138;ESC JOAO DE DEUS RODRIGUES;12026115;2;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Bujari;1200138;ESC GEZILDA DE FREITAS PAIXAO II;12031623;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC FRANCISCO SALUSTIANO CARDOSO II;12032360;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC COSMO CARNEIRO TORRES;12032980;3;2;0;0;1;0;0;0;0;1;1;0;0;0
2021;AC;Bujari;1200138;ESC P A ANTONIO DE HOLANDA;12033618;3;2;1;0;1;0;0;0;0;1;1;0;0;0
2021;AC;Bujari;1200138;ESC LIMOEIRO II;12033669;2;2;0;0;1;0;0;0;1;0;0;0;0;1
2021;AC;Bujari;1200138;ESC RAIMUNDO HERMINIO DE MELO;12033677;2;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Bujari;1200138;ESC ARCO IRIS;12033685;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC DOM MANOEL II;12101222;2;2;0;0;0;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC RENASCER;12101230;2;2;0;0;1;0;0;1;0;0;0;0;0;1
2021;AC;Bujari;1200138;ESC PARAISO;12103225;2;2;0;0;0;0;0;0;1;0;1;0;0;0
2021;AC;Bujari;1200138;ESC SAO PEDRO;12104221;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC ARGENTINA PEREIRA FEITOSA;12009725;2;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC LIMEIRA;12009776;3;2;0;0;1;0;1;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC MARIETA FREIRE RODRIGUES;12009792;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC NAIR SOMBRA;12009881;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Capixaba;1200179;ESC MARIA FERNANDES DE AMORIM;12018929;3;2;0;0;1;0;0;1;0;0;1;0;0;0
